Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2025-12-16,Bullish,100.95,5.91,3.39,2.54,75.05
WPC,2025-12-08,Bearish,64.64,-3.19,1.18,1.53,129.41
BURL,2025-12-23,Bullish,288.23999,6.69,1.26,0.56,44.53
REXR,2025-12-08,Bearish,39.82,-3.2,1.89,2.68,141.89
USFD,2025-12-12,Bullish,76.37,1.32,2.21,1.81,82.0
OVV,2025-12-22,Bearish,38.049999,-3.32,3.09,2.47,79.95
IBKR,2025-11-24,Bearish,65.98,-0.64,4.28,4.42,103.26
TTC,2025-12-19,Bullish,78.88,7.21,1.18,2.56,216.36
CG,2025-12-19,Bullish,60.99,7.18,2.55,3.14,123.21
ITT,2025-12-15,Bearish,177.73,-0.27,1.13,0.66,58.51
CCK,2025-12-15,Bullish,102.69,5.75,2.16,2.16,100.12
WTRG,2025-12-04,Bearish,38.57,-1.83,2.05,3.45,168.09
UNM,2025-12-17,Bullish,79.050003,4.29,1.45,1.35,93.35
DBX,2025-12-10,Bearish,28.1,-4.43,3.35,9.05,270.43
BWXT,2025-11-28,Bearish,177.17999,-3.99,1.42,0.37,26.34
CNM,2025-12-18,Bullish,54.19,4.39,3.07,2.62,85.3
RRC,2025-12-17,Bearish,35.25,-5.44,3.34,2.83,84.92
FLR,2025-11-18,Bearish,40.94,-9.31,3.68,2.48,67.39
GXO,2025-12-12,Bullish,54.29,4.97,1.04,0.7,67.68
FNF,2025-12-24,Bearish,54.98,-1.08,1.35,0.54,40.04
FNF,2025-12-24,Bearish,54.98,-1.08,1.35,0.54,40.04
CROX,2025-12-05,Bullish,90.61,8.95,1.62,1.37,84.79
MTDR,2025-12-16,Bearish,41.73,-3.02,1.37,1.37,99.6
PLNT,2025-11-17,Bullish,109.95,9.96,1.75,1.98,113.6
HR,2025-12-09,Bearish,16.89,-5.07,2.45,2.39,97.4
ADC,2025-12-12,Bearish,72.4,-1.09,1.02,0.97,95.39
PB,2025-11-24,Bullish,71.080002,7.3,1.11,0.97,88.16
PR,2025-11-18,Bullish,13.88,6.24,11.58,11.13,96.15
EXLS,2025-12-19,Bullish,43.3,5.49,1.18,2.53,215.12
ST,2025-12-02,Bullish,33.64,8.29,1.3,1.32,101.63
OZK,2025-12-22,Bullish,47.19,0.1,1.04,0.73,70.11
SLM,2025-12-15,Bearish,27.66,-1.71,3.52,3.73,105.8
VAL,2025-12-23,Bearish,49.75,-7.27,1.14,0.61,53.44
AM,2025-12-15,Bearish,17.88,-0.99,2.33,2.27,97.24
NVST,2025-12-01,Bullish,22.0,9.33,1.84,1.21,66.02
KRC,2025-12-12,Bearish,38.0,-7.91,1.29,1.76,135.73
IRT,2025-12-01,Bullish,17.32,4.07,2.79,3.34,119.73
QDEL,2025-12-11,Bullish,28.91,8.77,1.17,1.34,115.21
ASB,2025-11-28,Bullish,26.55,4.35,1.4,0.56,39.84
TGNA,2025-11-25,Bearish,19.38,-2.35,1.71,2.83,165.87
HIG,2025-11-14,Bullish,139.72,8.37,1.49,1.23,82.53
IR,2025-12-11,Bullish,81.57,3.23,2.64,2.54,95.96
CMS,2025-12-08,Bearish,70.11,-4.12,2.1,1.68,80.07
DVN,2025-11-14,Bullish,36.2,7.35,7.89,8.37,106.03
TTWO,2025-12-24,Bullish,251.60001,2.3,1.37,0.49,35.47
ETR,2025-12-18,Bearish,92.67,-1.15,2.87,2.82,98.16
XYL,2025-11-25,Bearish,138.73,-4.02,1.45,1.7,116.93
HPE,2025-12-11,Bullish,24.44,6.16,29.78,31.58,106.04
